category_key,category_product_order,abstract_sku,name.de_DE,url.de_DE,is_featured,attribute_key_1,value_1,attribute_key_1.de_DE,value_1.de_DE,attribute_key_2,value_2,attribute_key_2.de_DE,value_2.de_DE,attribute_key_3,value_3,attribute_key_3.de_DE,value_3.de_DE,attribute_key_4,value_4,attribute_key_4.de_DE,value_4.de_DE,attribute_key_5,value_5,attribute_key_6,value_6,attribute_key_6.de_DE,value_6.de_DE,color_code,description.de_DE,icecat_pdp_url,tax_set_name,meta_title.de_DE,meta_keywords.de_DE,meta_description.de_DE,icecat_license,new_from,new_to
digital-cameras,16,001,Canon IXUS 160,/de/canon-ixus-160-1,0,megapixel,20 MP,,,flash_range_tele,1.3-1.5 m,,,memory_slots,1,,,usb_version,2,,,brand,Canon,,,color,Weinrot,#DC2E09,"Beeindruckende Aufnahmen, ganz einfach Smart Auto ermöglicht die mühelose Aufnahme von fantastischen Fotos und Movies – die Kamera wählt in diesem Modus automatisch die idealen Einstellungen für die jeweilige Aufnahmesituation. Sie müssen nur noch das Motiv anvisieren und auslösen. Ein Druck auf die Hilfe-Taste führt zu leicht verständlichen Erklärungen der Kamerafunktionen. Zahlreiche Kreativfilter laden zum Experimentieren ein und bieten echten Fotospaß. So lässt sich neben vielen anderen Optionen der Verzeichnungseffekt eines Fisheye-Objektivs nachempfinden oder in Fotos und Movies werden die Dinge wie Miniaturmodelle dargestellt.",//de.icecat.biz/de/p/canon/0144c001/digitale-kameras-4549292030174-Canon-IXUS-160-25904006.html,Entertainment Electronics,Canon IXUS 160,"Canon,Entertainment Electronics","Beeindruckende Aufnahmen, ganz einfach Smart Auto ermöglicht die mühelose Aufnahme von fantastischen Fotos und Movies – die Kamera wählt in diesem Modus au","This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",2017-06-01 00:00:00.000000,2017-06-30 00:00:00.000000
digital-cameras,22,002,Canon IXUS 160,/de/canon-ixus-160-2,0,megapixel,20 MP,,,flash_range_tele,1.3-1.5 m,,,memory_slots,1,,,usb_version,2,,,brand,Canon,,,color,Schwarz,#000000,"Beeindruckende Aufnahmen, ganz einfach Smart Auto ermöglicht die mühelose Aufnahme von fantastischen Fotos und Movies – die Kamera wählt in diesem Modus automatisch die idealen Einstellungen für die jeweilige Aufnahmesituation. Sie müssen nur noch das Motiv anvisieren und auslösen. Ein Druck auf die Hilfe-Taste führt zu leicht verständlichen Erklärungen der Kamerafunktionen. Zahlreiche Kreativfilter laden zum Experimentieren ein und bieten echten Fotospaß. So lässt sich neben vielen anderen Optionen der Verzeichnungseffekt eines Fisheye-Objektivs nachempfinden oder in Fotos und Movies werden die Dinge wie Miniaturmodelle dargestellt.",//de.icecat.biz/de/p/canon/0135c001/digitale-kameras-4549292029147-Canon-IXUS-160-25904004.html,Entertainment Electronics,Canon IXUS 160,"Canon,Entertainment Electronics","Beeindruckende Aufnahmen, ganz einfach Smart Auto ermöglicht die mühelose Aufnahme von fantastischen Fotos und Movies – die Kamera wählt in diesem Modus au","This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",2017-06-01 00:00:00.000000,2017-06-30 00:00:00.000000
digital-cameras,34,003,Canon IXUS 160,/de/canon-ixus-160-3,0,megapixel,20 MP,,,flash_range_tele,1.3-1.5 m,,,memory_slots,1,,,usb_version,2,,,brand,Canon,,,color,Silber,#D3D3D3,"Beeindruckende Aufnahmen, ganz einfach Smart Auto ermöglicht die mühelose Aufnahme von fantastischen Fotos und Movies – die Kamera wählt in diesem Modus automatisch die idealen Einstellungen für die jeweilige Aufnahmesituation. Sie müssen nur noch das Motiv anvisieren und auslösen. Ein Druck auf die Hilfe-Taste führt zu leicht verständlichen Erklärungen der Kamerafunktionen. Zahlreiche Kreativfilter laden zum Experimentieren ein und bieten echten Fotospaß. So lässt sich neben vielen anderen Optionen der Verzeichnungseffekt eines Fisheye-Objektivs nachempfinden oder in Fotos und Movies werden die Dinge wie Miniaturmodelle dargestellt.",//de.icecat.biz/de/p/canon/0138c009/digitale-kameras-8714574629490-Canon-IXUS-160-26138343.html,Entertainment Electronics,Canon IXUS 160,"Canon,Entertainment Electronics","Beeindruckende Aufnahmen, ganz einfach Smart Auto ermöglicht die mühelose Aufnahme von fantastischen Fotos und Movies – die Kamera wählt in diesem Modus au","This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",2017-06-01 00:00:00.000000,2017-06-30 00:00:00.000000
digital-cameras,10,004,Canon IXUS 175,/de/canon-ixus-175-4,0,optical_zoom,8 x,,,combined_zoom,32 x,,,display,LCD,,,hdmi,no,,,brand,Canon,,,color,Silber,#D3D3D3,"Stil im Taschenformat Diese ultraschlanke und schicke IXUS passt in jede Hand- oder Jackentasche und bietet dabei ein flexibles 28-mm-Weitwinkelobjektiv mit 8fach optischem Zoom (16fach ZoomPlus). Wo immer Sie also sind, können Sie jedes Motiv – von ganz nahen bis weit entfernt – in erstklassigen Fotos und Movies festhalten. Der Eco-Modus reduziert den Stromverbrauch der Kamera und ermöglicht längere Aufnahmezeiten. Großartige Movies aufnehmen macht Spaß und ist ein Kinderspiel. Einfach nur die Taste drücken und schon beginnt die HD-Movieaufnahme (720p) im MP4-Format. Für kreative Vielseitigkeit lässt sich der optische Zoom auch im Movie-Modus einsetzen und die Aufnahmen werden hochwertig und gestochen scharf.",//de.icecat.biz/en/p/canon/1094c001/digitale-kameras-4549292057188-175-30663302.html,Entertainment Electronics,Canon IXUS 175,"Canon,Entertainment Electronics",Stil im Taschenformat Diese ultraschlanke und schicke IXUS passt in jede Hand- oder Jackentasche und bietet dabei ein flexibles 28-mm-Weitwinkelobjektiv mi,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",2017-06-01 00:00:00.000000,2017-06-30 00:00:00.000000
digital-cameras,4,005,Canon IXUS 175,/de/canon-ixus-175-5,0,optical_zoom,8 x,,,combined_zoom,32 x,,,display,LCD,,,hdmi,no,,,brand,Canon,,,color,Blau,#6281D8,"Stil im Taschenformat Diese ultraschlanke und schicke IXUS passt in jede Hand- oder Jackentasche und bietet dabei ein flexibles 28-mm-Weitwinkelobjektiv mit 8fach optischem Zoom (16fach ZoomPlus). Wo immer Sie also sind, können Sie jedes Motiv – von ganz nahen bis weit entfernt – in erstklassigen Fotos und Movies festhalten. Der Eco-Modus reduziert den Stromverbrauch der Kamera und ermöglicht längere Aufnahmezeiten. Großartige Movies aufnehmen macht Spaß und ist ein Kinderspiel. Einfach nur die Taste drücken und schon beginnt die HD-Movieaufnahme (720p) im MP4-Format. Für kreative Vielseitigkeit lässt sich der optische Zoom auch im Movie-Modus einsetzen und die Aufnahmen werden hochwertig und gestochen scharf.",//uk.icecat.biz/de/p/canon/1091c001/digitale-kameras-4549292057126-Canon-IXUS-180-30663301.html,Entertainment Electronics,Canon IXUS 175,"Canon,Entertainment Electronics",Stil im Taschenformat Diese ultraschlanke und schicke IXUS passt in jede Hand- oder Jackentasche und bietet dabei ein flexibles 28-mm-Weitwinkelobjektiv mi,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",2017-06-01 00:00:00.000000,2017-06-30 00:00:00.000000
digital-cameras,11,006,Canon IXUS 175,/de/canon-ixus-175-6,0,optical_zoom,8 x,,,combined_zoom,32 x,,,display,LCD,,,hdmi,no,,,brand,Canon,,,color,Schwarz,#000000,"Stil im Taschenformat Diese ultraschlanke und schicke IXUS passt in jede Hand- oder Jackentasche und bietet dabei ein flexibles 28-mm-Weitwinkelobjektiv mit 8fach optischem Zoom (16fach ZoomPlus). Wo immer Sie also sind, können Sie jedes Motiv – von ganz nahen bis weit entfernt – in erstklassigen Fotos und Movies festhalten. Der Eco-Modus reduziert den Stromverbrauch der Kamera und ermöglicht längere Aufnahmezeiten. Großartige Movies aufnehmen macht Spaß und ist ein Kinderspiel. Einfach nur die Taste drücken und schon beginnt die HD-Movieaufnahme (720p) im MP4-Format. Für kreative Vielseitigkeit lässt sich der optische Zoom auch im Movie-Modus einsetzen und die Aufnahmen werden hochwertig und gestochen scharf.",//uk.icecat.biz/de/p/canon/1085c009/digitale-kameras-8714574634319-Canon-IXUS-180-20MP-1-2-3Zoll-CCD-5152-x-3864Pixel-Schwarz-30692993.html,Entertainment Electronics,Canon IXUS 175,"Canon,Entertainment Electronics",Stil im Taschenformat Diese ultraschlanke und schicke IXUS passt in jede Hand- oder Jackentasche und bietet dabei ein flexibles 28-mm-Weitwinkelobjektiv mi,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",2017-06-01 00:00:00.000000,2017-06-30 00:00:00.000000
digital-cameras,36,007,Canon IXUS 285,/de/canon-ixus-285-7,0,optical_zoom,12 x,,,usb_version,2,,,self_timer,2.10 s,,,hd_type,Full HD,,,brand,Canon,,,color,Schwarz,#000000,No Description,//uk.icecat.biz/en/p/canon/1076c007/digitale-kameras-8714574634395-285+HS-30691822.html,Entertainment Electronics,Canon IXUS 285,"Canon,Entertainment Electronics",No Description,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",2017-06-01 00:00:00.000000,2017-06-30 00:00:00.000000
digital-cameras,37,008,Canon IXUS 285,/de/canon-ixus-285-8,0,optical_zoom,12 x,,,usb_version,2,,,self_timer,2.10 s,,,hd_type,Full HD,,,brand,Canon,,,color,Lila,#9370DB,No Description,//uk.icecat.biz/de/p/canon/1082c006/digitale-kameras-8714574634432-Canon-IXUS-285-HS-20-2MP-1-2-3Zoll-CMOS-5184-x-3888Pixel-Schwarz-30692992.html,Entertainment Electronics,Canon IXUS 285,"Canon,Entertainment Electronics",No Description,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",2017-06-01 00:00:00.000000,2017-06-30 00:00:00.000000
digital-cameras,1,009,Canon IXUS 285,/de/canon-ixus-285-9,0,optical_zoom,12 x,,,usb_version,2,,,self_timer,2.10 s,,,hd_type,Full HD,,,brand,Canon,,,color,Silber,#D3D3D3,No Description,//uk.icecat.biz/de/p/canon/1079c007/digitale-kameras-8714574634418-Canon-IXUS-285-HS-20-2MP-1-2-3Zoll-CMOS-5184-x-3888Pixel-Schwarz-30692991.html,Entertainment Electronics,Canon IXUS 285,"Canon,Entertainment Electronics",No Description,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",2017-06-01 00:00:00.000000,2017-06-30 00:00:00.000000
digital-cameras,32,010,Canon IXUS 180,/de/canon-ixus-180-10,0,megapixel,20 MP,,,sensor_type,CCD,,,display,LCD,,,digital_zoom,4 x,,,brand,Canon,,,color,Rot,#DC2E09,No Description,//uk.icecat.biz/en/p/canon/1088c008/digitale-kameras-8714574634333-180-30692994.html,Entertainment Electronics,Canon IXUS 180,"Canon,Entertainment Electronics",No Description,"This CSV is part of Open Icecat catalog, version March 2 2016, March 2, 2016 (see //www.icecat.biz), whereby the original XML source was transformed into CSV and product data was completed or optimized, where necessary. (c) Icecat.biz For the full copyright and license information, please view the LICENSE and DISCLAIMER file that was distributed with this source code. Open Icecat and its sponsors are providing you as a user a large quantity of free product data - for more details please view //www.icecat.biz.",2017-06-01 00:00:00.000000,2017-06-30 00:00:00.000000
